"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ANP32B",2.69830773238481e-42,0.569555207688915,0.861,0.574,3.74336231713744e-38,"S/G2","ANP32B"
"TMEM106C",3.82555819358781e-42,0.679930754646773,0.852,0.57,5.30719688196437e-38,"S/G2","TMEM106C"
"CDCA2",1.21278606605667e-41,0.352584985020737,0.378,0.105,1.68249810944042e-37,"S/G2","CDCA2"
"CENPE",4.51549020778138e-41,0.380576570411557,0.414,0.123,6.26433956525511e-37,"S/G2","CENPE"
"LRR1",6.83815278151881e-41,0.438528657251206,0.471,0.168,9.48656935380105e-37,"S/G2","LRR1"
"MND1",3.10295105419143e-40,0.319654020564781,0.314,0.078,4.30472399747978e-36,"S/G2","MND1"
"RBBP8",3.35015083290255e-40,0.323064555156017,0.302,0.074,4.64766425048571e-36,"S/G2","RBBP8"
"TCF19",4.53133768870831e-40,0.329011010448734,0.302,0.074,6.28632477554504e-36,"S/G2","TCF19"
"YWHAH",6.40255203492516e-40,0.58675745115967,0.964,0.788,8.88226043805168e-36,"S/G2","YWHAH"
"DNMT1",6.41186079905206e-40,0.536097801822848,0.71,0.359,8.89517448652492e-36,"S/G2","DNMT1"
"RPA3",9.63573069307612e-40,0.571751840294317,0.728,0.4,1.33676491905045e-35,"S/G2","RPA3"
"CACYBP",1.1389603253026e-39,0.588268542442311,0.924,0.716,1.5800796592923e-35,"S/G2","CACYBP"
"C19orf48",2.816555717307e-39,0.498121083603489,0.517,0.205,3.90740774662001e-35,"S/G2","C19orf48"
"BRCA2",5.90236433187542e-39,0.369126549668019,0.366,0.108,8.18835003761076e-35,"S/G2","BRCA2"
"GGH",7.4194259209054e-39,0.578292959676293,0.924,0.653,1.02929695800721e-34,"S/G2","GGH"
"SAC3D1",2.10817443619041e-38,0.488228858613702,0.61,0.281,2.92467039532695e-34,"S/G2","SAC3D1"
"CHCHD2",4.77310401113083e-38,0.42179595929196,1,0.996,6.62172719464181e-34,"S/G2","CHCHD2"
"SIVA1",8.5011288709069e-38,0.535603965424053,0.876,0.634,1.17936160826091e-33,"S/G2","SIVA1"
"KIF4A",9.19240773139156e-38,0.433486597308885,0.495,0.183,1.27526272457595e-33,"S/G2","KIF4A"
"CEP55",1.16653495697262e-37,0.361813520566173,0.408,0.129,1.61833394580812e-33,"S/G2","CEP55"
"SMC1A",1.6044880336445e-37,0.484747172043352,0.595,0.269,2.22590624907502e-33,"S/G2","SMC1A"
