"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TMSB4X",5.7469334033385e-09,0.378114331559505,1,1,7.9727207104515e-05,"G1/other","TMSB4X"
"CYCS2",5.98438644172835e-09,0.516929751336633,1,0.886,8.30213931060975e-05,"G1/other","CYCS"
"RPS27",6.29455122460802e-09,0.395378079454519,1,0.999,8.73243091389871e-05,"G1/other","RPS27"
"RPS20",7.83316171601323e-09,0.478809873788515,1,0.998,0.000108669452486252,"G1/other","RPS20"
"ZFAS1",1.29931736524522e-08,0.574664734232202,0.877,0.684,0.00018025429808047,"G1/other","ZFAS1"
"RPSA",1.66111986569157e-08,0.506100390052823,1,0.997,0.000230447158967392,"G1/other","RPSA"
"SEPW1",2.06751650832186e-08,0.48920101555084,1,0.894,0.000286826565199492,"G1/other","SEPW1"
"EEF1A11",3.30627774738205e-08,0.324877705730227,1,1,0.000458679911894312,"G1/other","EEF1A1"
"ATP5L",3.47875487595223e-08,0.388185901714158,1,0.995,0.000482607663940853,"G1/other","ATP5L"
"RPL10",3.56932982778235e-08,0.375174090450566,1,1,0.000495173127008245,"G1/other","RPL10"
"RPL36A",3.68982902977733e-08,0.59114373263523,1,0.929,0.000511889981301009,"G1/other","RPL36A"
"FAU",6.70595701675996e-08,0.347718282226847,1,1,0.00093031741693511,"G1/other","FAU"
"RPL15",7.54776072729181e-08,0.29073174183618,1,1,0.00104710084569719,"G1/other","RPL15"
"TMA7",8.39820890651555e-08,0.41828110232449,1,0.998,0.0011650835216009,"G1/other","TMA7"
"UQCRH",9.58930399348544e-08,0.460965920205015,1,0.965,0.00133032414301624,"G1/other","UQCRH"
"RPS29",1.15180150045478e-07,0.4531320878256,1,0.987,0.00159789422158092,"G1/other","RPS29"
"PKM",1.16012351655441e-07,0.421263332087299,1,0.999,0.00160943935451593,"G1/other","PKM"
"PPDPF",1.28024940481677e-07,0.47834522175455,1,0.989,0.00177608999930231,"G1/other","PPDPF"
"RPLP0",2.52093701979601e-07,0.465067360252646,1,1,0.00349729592756301,"G1/other","RPLP0"
"ST131",4.46196199280115e-07,0.447142137471014,1,0.932,0.00619007987261303,"G1/other","ST13"
"FTH11",4.53896043243552e-07,0.351139063458072,1,1,0.00629689980791779,"G1/other","FTH1"
"EEF2",4.62159048947021e-07,0.496095395944363,1,0.927,0.00641153248604202,"G1/other","EEF2"
"SEPT2",5.02211442147821e-07,0.48871650111434,0.973,0.807,0.00696717933691673,"G1/other","SEPT2"
"RPL29",6.14589307510983e-07,0.28956651380104,1,1,0.00852619746309987,"G1/other","RPL29"
"RPS26",7.54634632700012e-07,0.300033284964087,1,1,0.0104690462594473,"G1/other","RPS26"
"RPS3",8.08793268654962e-07,0.324761000171717,1,1,0.0112203890160503,"G1/other","RPS3"
"RPS11",8.21830690282732e-07,0.373114200219582,1,0.991,0.0114012571662923,"G1/other","RPS11"
"RPS16",1.02206593786339e-06,0.338504035321838,1,0.999,0.0141791207559788,"G1/other","RPS16"
"ATOX1",1.2944387650964e-06,0.485263270955244,0.986,0.886,0.0179577489881824,"G1/other","ATOX1"
"ANXA5",1.31174677741171e-06,0.466938121490609,1,0.999,0.0181978630430326,"G1/other","ANXA5"
"RPL18",2.9611484079426e-06,0.293949164039721,1,0.999,0.0410800118633876,"G1/other","RPL18"
"TXN",3.22771360963452e-06,0.381746679701132,1,0.962,0.0447780709064598,"G1/other","TXN"
"RPL37",4.31540727769696e-06,0.312456918367443,1,0.996,0.0598676451634899,"G1/other","RPL37"
"SRP141",5.74194382914805e-06,0.287563928450582,1,0.999,0.0796579867417709,"G1/other","SRP14"
"PGK1",6.12971434593117e-06,0.419203880989638,0.986,0.851,0.0850375271211032,"G1/other","PGK1"
"COTL1",6.48985626788161e-06,0.554805251100159,0.671,0.594,0.0900337760043215,"G1/other","COTL1"
"HINT1",6.54189098874294e-06,0.349953216847965,1,0.998,0.0907556536868308,"G1/other","HINT1"
"EEF1D",8.12491917396658e-06,0.345674113716731,1,0.989,0.112717003700438,"G1/other","EEF1D"
"RPL38",9.68798652915555e-06,0.386383709862127,1,0.991,0.134401437118975,"G1/other","RPL38"
"C7orf73",1.41574104204208e-05,0.399518794514631,0.932,0.79,0.196405754762498,"G1/other","C7orf73"
"NME4",1.55786124069934e-05,0.374357567216367,0.863,0.696,0.216122089922219,"G1/other","NME4"
"RPL4",1.71514847061523e-05,0.281690967296695,1,1,0.237942547328451,"G1/other","RPL4"
"SCP2",2.07377596046344e-05,0.396164745493068,0.959,0.855,0.287694938995093,"G1/other","SCP2"
"FKBP1A",2.65332459046503e-05,0.453968227002683,1,0.979,0.368095720435214,"G1/other","FKBP1A"
"FAM127A",2.77162477713786e-05,0.333780501172532,0.918,0.733,0.384507505332336,"G1/other","FAM127A"
"UBL5",3.86419220567996e-05,0.369081454920555,1,0.974,0.53607938469398,"G1/other","UBL5"
"NDUFA4",4.92785011602971e-05,0.296866230004323,1,0.997,0.683640646596802,"G1/other","NDUFA4"
"COX7A2",5.98697004712646e-05,0.318703454783063,1,0.978,0.830572354637854,"G1/other","COX7A2"
"PCNP",6.27416562335822e-05,0.357571064507283,0.89,0.727,0.870414996928486,"G1/other","PCNP"
"PDIA4",7.30466676898888e-05,0.473681741899221,0.822,0.669,1,"G1/other","PDIA4"
"NDUFB2",7.73740216015934e-05,0.360103784977904,1,0.989,1,"G1/other","NDUFB2"
"RPL34",8.55314576444163e-05,0.423099641397415,0.986,0.988,1,"G1/other","RPL34"
"MYEOV2",9.14291676066755e-05,0.333410812158889,1,0.919,1,"G1/other","MYEOV2"
"BTF3",0.000100890018642453,0.301038923021001,1,0.999,1,"G1/other","BTF3"
"HSBP1",0.000122753020677826,0.342390043487535,1,0.891,1,"G1/other","HSBP1"
"RPS10",0.000123966280599145,0.32320126401876,1,0.985,1,"G1/other","RPS10"
"PPIA",0.000127910420172652,0.304544760461152,1,0.997,1,"G1/other","PPIA"
"FTL1",0.000161882764870866,0.294112126823425,1,0.999,1,"G1/other","FTL"
"RPL7A",0.000168341959799972,0.270786758905421,1,0.999,1,"G1/other","RPL7A"
"COX6A1",0.000171502879353554,0.333325670431492,1,0.992,1,"G1/other","COX6A1"
"TCEB1",0.000299010409033822,0.362916606599191,0.904,0.78,1,"G1/other","TCEB1"
"APRT",0.000333275969642562,0.35251686527431,0.877,0.721,1,"G1/other","APRT"
"CALU",0.000372125351705865,0.436741284697324,0.959,0.826,1,"G1/other","CALU"
"COX8A2",0.000484289172691582,0.299577242220098,1,0.98,1,"G1/other","COX8A"
"KIAA01013",0.000557234230314331,0.335493396989698,0.849,0.555,1,"G1/other","KIAA0101"
"PEBP1",0.000578271143398966,0.269908370316754,1,0.955,1,"G1/other","PEBP1"
"COX7C",0.000650023633018334,0.287954620944769,1,0.984,1,"G1/other","COX7C"
"TOMM7",0.00085487975734322,0.360198215182629,0.945,0.845,1,"G1/other","TOMM7"
"IFITM31",0.000862790657058502,0.351501519913383,0.836,0.727,1,"G1/other","IFITM3"
"PRDX2",0.000868835804524987,0.270257322461637,1,0.978,1,"G1/other","PRDX2"
"BSG",0.000871612804676552,0.412753161318427,1,0.964,1,"G1/other","BSG"
"RPS7",0.000919876640987123,0.293197314883145,1,1,1,"G1/other","RPS7"
"GLO1",0.0011264524534022,0.405083303824342,0.808,0.682,1,"G1/other","GLO1"
"ENO1",0.001140201251814,0.289129900755825,1,0.987,1,"G1/other","ENO1"
"IGFBP71",0.00124461003191525,0.460713952689175,0.973,0.712,1,"G1/other","IGFBP7"
"NDUFA1",0.00144524162549351,0.364746386001642,0.932,0.822,1,"G1/other","NDUFA1"
"SDCBP",0.00145575988492565,0.319642630810756,0.822,0.684,1,"G1/other","SDCBP"
"SEP15",0.00154258060906511,0.255420702638792,0.932,0.789,1,"G1/other","SEP15"
"NUTF2",0.00155954380512427,0.301769074841418,0.904,0.76,1,"G1/other","NUTF2"
"POLR2L",0.00159408400124959,0.293230116329969,1,0.995,1,"G1/other","POLR2L"
"DYNLRB1",0.00163310436809646,0.314220970385453,0.932,0.796,1,"G1/other","DYNLRB1"
"EEF1B21",0.00163571642629365,0.323122377098535,1,0.953,1,"G1/other","EEF1B2"
"C17orf89",0.00175938981631648,0.3381344983573,0.808,0.693,1,"G1/other","C17orf89"
"PGAM1",0.00182240122272411,0.266773076141042,1,0.848,1,"G1/other","PGAM1"
"CKB1",0.00192215290920418,0.299450395086533,1,0.943,1,"G1/other","CKB"
"MGST3",0.00196340132972881,0.386328906220176,0.973,0.788,1,"G1/other","MGST3"
"RPL22L12",0.00290993978922733,0.461142834552899,0.699,0.615,1,"G1/other","RPL22L1"
"PTMS",0.00294695931573102,0.359751264531825,0.973,0.938,1,"G1/other","PTMS"
"SPCS1",0.00375763663972926,0.285820145396021,0.986,0.837,1,"G1/other","SPCS1"
"COX20",0.00386024488081008,0.257191697051461,0.932,0.778,1,"G1/other","COX20"
"IGFBP32",0.0039439045325847,0.498246946061498,0.973,0.919,1,"G1/other","IGFBP3"
"RPL17",0.00437856249286852,0.320279763863413,0.671,0.629,1,"G1/other","RPL17"
"BZW1",0.00496742195001651,0.3187186058006,0.932,0.808,1,"G1/other","BZW1"
"PSME1",0.0054201086398696,0.289884183605595,0.808,0.685,1,"G1/other","PSME1"
"GPX1",0.00678004648329507,0.304762723865417,0.986,0.868,1,"G1/other","GPX1"
"GCSH",0.00778149573108945,0.255068525158491,0.849,0.708,1,"G1/other","GCSH"
"TMBIM6",0.00804599871642434,0.305651300707684,1,0.976,1,"G1/other","TMBIM6"
"CYR61",5.13037946132155e-159,2.17503255713198,0.902,0.171,7.11737542669138e-155,"Late G1","CYR61"
"EDN1",6.039007607486e-135,1.18208531211425,0.515,0.044,8.37791525386533e-131,"Late G1","EDN1"
"ANKRD1",1.75005256179667e-128,1.48729950002571,0.552,0.056,2.42784791898052e-124,"Late G1","ANKRD1"
"CTGF",1.88988348421225e-123,2.65006514268841,0.938,0.267,2.62183535764765e-119,"Late G1","CTGF"
"CITED2",9.54720134754364e-81,1.16971423592646,0.675,0.163,1.32448324294473e-76,"Late G1","CITED2"
"PLK2",2.92241293906493e-74,0.661425017246792,0.479,0.076,4.05426347036478e-70,"Late G1","PLK2"
"TNFRSF12A1",2.69095570073417e-35,0.76809105730763,1,0.925,3.73316284362852e-31,"Late G1","TNFRSF12A"
"MYC",3.12576709393186e-31,0.389317236995972,0.268,0.054,4.33637668941167e-27,"Late G1","MYC"
"GADD45B",4.26681915364008e-26,0.298366646275091,0.227,0.046,5.91935821184488e-22,"Late G1","GADD45B"
"UGCG",4.73153575854449e-23,0.396821258027748,0.335,0.104,6.56405955782877e-19,"Late G1","UGCG"
"NEXN",5.18756220410659e-22,0.605274170237421,0.649,0.35,7.19670504575708e-18,"Late G1","NEXN"
"ARID5B",8.52758162338289e-21,0.634567158125241,0.515,0.238,1.18303139861191e-16,"Late G1","ARID5B"
"HOXB21",2.78975348115839e-20,0.691066385177637,0.84,0.615,3.87022500441104e-16,"Late G1","HOXB2"
"LIMA1",1.91807456104895e-19,0.57017335103662,0.814,0.566,2.66094483854321e-15,"Late G1","LIMA1"
"PRKAG2",1.64943037415699e-18,0.357507949013537,0.356,0.131,2.28825475806799e-14,"Late G1","PRKAG2"
"CNN3",1.66530125744548e-18,0.478936272174505,0.979,0.951,2.31027243445412e-14,"Late G1","CNN3"
"CCND11",1.70363678276392e-17,0.665349478599531,0.918,0.805,2.36345530872838e-13,"Late G1","CCND1"
"DDAH1",4.63043755485941e-17,0.285452216702775,0.268,0.085,6.42380601985645e-13,"Late G1","DDAH1"
"ANXA1",6.3084784225391e-17,0.563232873762906,0.985,0.96,8.7517521155885e-13,"Late G1","ANXA1"
"EGF",7.21276402894163e-16,0.396911381406143,0.376,0.16,1.00062675373507e-11,"Late G1","EGF"
"TPM11",1.03554004927493e-15,0.524681489602637,0.985,0.961,1.43660471035912e-11,"Late G1","TPM1"
"HBEGF",2.79574453463853e-15,0.340293425874922,0.247,0.08,3.87853639290403e-11,"Late G1","HBEGF"
"PTHLH1",9.90528016707733e-14,0.280414807273874,0.253,0.089,1.37415951757864e-09,"Late G1","PTHLH"
"SLITRK6",2.0292898015663e-13,0.398011237687477,0.361,0.166,2.81523374171293e-09,"Late G1","SLITRK6"
"CALD11",7.15354204727781e-13,0.528059108372203,0.99,0.97,9.92410888218851e-09,"Late G1","CALD1"
"TMEFF21",7.58156299267437e-13,0.500620900706843,0.593,0.376,1.05179023397372e-08,"Late G1","TMEFF2"
"PLAU2",1.92171156746232e-12,0.618878450042786,0.66,0.458,2.66599045754047e-08,"Late G1","PLAU"
"SERPINE1",6.21272167780582e-12,0.608798526923419,0.51,0.308,8.61890878362001e-08,"Late G1","SERPINE1"
"MEST1",4.0757690640869e-11,0.480779264497547,0.897,0.828,5.65431442260776e-07,"Late G1","MEST"
"GJA1",1.35498632753095e-10,0.311238817570676,0.423,0.234,1.87977253218368e-06,"Late G1","GJA1"
"LINC00152",6.36462875167028e-10,0.505499062239172,0.814,0.689,8.82964946719218e-06,"Late G1","LINC00152"
"SORBS2",9.59206204217154e-10,0.328860262725763,0.418,0.234,1.33070676711046e-05,"Late G1","SORBS2"
"LAYN",1.01438062898282e-09,0.368003007299043,0.273,0.127,1.40725024658786e-05,"Late G1","LAYN"
"FLG",1.01788258123078e-09,0.326165749294312,0.108,0.028,1.41210850494146e-05,"Late G1","FLG"
"MYL12A1",1.71019441860005e-09,0.404730635016163,0.964,0.92,2.37255271692386e-05,"Late G1","MYL12A"
"PRSS232",1.82264750047016e-09,0.387888668932093,0.99,0.966,2.52855887740225e-05,"Late G1","PRSS23"
"FOSL11",1.98462430822852e-09,0.304238169231135,0.387,0.208,2.75326930280543e-05,"Late G1","FOSL1"
"IRS2",2.61310366232112e-09,0.279266381572985,0.49,0.288,3.62515871073809e-05,"Late G1","IRS2"
"GRPEL1",5.26456454744891e-09,0.269735143833307,0.443,0.26,7.30353039667588e-05,"Late G1","GRPEL1"
"IER3",9.01698628137671e-09,0.26399460528633,0.263,0.125,0.000125092650681539,"Late G1","IER3"
"ACAT22",9.36114679712645e-09,0.407371232175837,0.84,0.742,0.000129867189516535,"Late G1","ACAT2"
"RRAS2",1.02482512051983e-08,0.311398581514755,0.418,0.239,0.000142173988969716,"Late G1","RRAS2"
"LBH",1.66606963181502e-08,0.346686320360189,0.34,0.185,0.000231133840021698,"Late G1","LBH"
"IDI1",2.01329989364382e-08,0.416694985361846,0.773,0.636,0.000279305094245207,"Late G1","IDI1"
"FHL21",2.02418560615598e-08,0.468251775683723,0.794,0.635,0.000280815269142019,"Late G1","FHL2"
"PTPLA1",4.34860619157362e-08,0.303639884463482,0.753,0.592,0.000603282136957008,"Late G1","PTPLA"
"DDX21",4.73778530008473e-08,0.265253867447869,0.495,0.319,0.000657272954680755,"Late G1","DDX21"
"CCL22",5.64562217630729e-08,0.840925494285774,0.335,0.187,0.00078321716451911,"Late G1","CCL2"
"HMGCS1",6.52377572156363e-08,0.286358943887709,0.567,0.38,0.000905043405852523,"Late G1","HMGCS1"
"LUZP1",7.5318183022261e-08,0.259243854863381,0.33,0.183,0.00104488915306783,"Late G1","LUZP1"
"HERPUD1",1.30021852582024e-07,0.482479812531319,0.66,0.511,0.00180379316087042,"Late G1","HERPUD1"
"IRX3",4.68589678389888e-07,0.340666020644814,0.593,0.438,0.00650074460830292,"Late G1","IRX3"
"NR3C1",5.38063777026048e-07,0.253130657963169,0.371,0.224,0.00746455877868236,"Late G1","NR3C1"
"MSMO1",1.44934059746065e-06,0.294277328096099,0.593,0.44,0.0201067021085716,"Late G1","MSMO1"
"STK17A",1.69279100972194e-06,0.29568848573976,0.655,0.494,0.0234840896778725,"Late G1","STK17A"
"ZYX",2.74509767808104e-06,0.27053737895713,0.603,0.467,0.0380827400880183,"Late G1","ZYX"
"LRRN31",4.35714898985967e-06,0.300018825030811,0.314,0.189,0.0604467279363232,"Late G1","LRRN3"
"LIMS11",4.59934293067914e-06,0.270207863767475,0.856,0.764,0.0638066844773118,"Late G1","LIMS1"
"TAGLN4",5.00881782915432e-06,0.445483678767132,0.954,0.949,0.0694873297438579,"Late G1","TAGLN"
"PHLDA22",5.22885303331859e-06,0.363855786300782,0.845,0.773,0.0725398781312288,"Late G1","PHLDA2"
"SLBP2",7.51311572318213e-06,0.29134155062288,0.541,0.412,0.104229454427706,"Late G1","SLBP"
"DDX5",7.88828647528442e-06,0.314203564366021,0.804,0.676,0.109434198271621,"Late G1","DDX5"
"ACTN1",8.29330160603851e-06,0.25577017219706,0.887,0.77,0.115052973180572,"Late G1","ACTN1"
"LHFP1",1.40820239206499e-05,0.260186430282168,0.619,0.453,0.195359917851176,"Late G1","LHFP"
"SQLE",1.42064399640654e-05,0.373977271074218,0.716,0.63,0.197085941621479,"Late G1","SQLE"
"PPP1R12A",2.00720713018059e-05,0.268880675734619,0.552,0.422,0.278459845169953,"Late G1","PPP1R12A"
"FILIP1L",2.78368292675352e-05,0.258296686622189,0.392,0.268,0.386180332428516,"Late G1","FILIP1L"
"HOXB4",3.04479943318433e-05,0.312720192454272,0.701,0.627,0.422405025365662,"Late G1","HOXB4"
"SEPT11",3.69564795188632e-05,0.255939286059542,0.825,0.742,0.512697240365189,"Late G1","SEPT11"
"ADM",8.34188771228513e-05,0.286159587752377,0.335,0.223,1,"Late G1","ADM"
"KLF61",8.93595939588532e-05,0.337180083832142,0.392,0.271,1,"Late G1","KLF6"
"MANF2",0.00010247341603731,0.25344240878605,0.809,0.736,1,"Late G1","MANF"
"PDLIM11",0.000129248098949936,0.291948631558409,0.696,0.577,1,"Late G1","PDLIM1"
"MIR4435-1HG",0.000641162342153639,0.253976702379261,0.809,0.729,1,"Late G1","MIR4435-1HG"
"IGFBP33",0.000641761156133225,0.272171270943771,0.933,0.919,1,"Late G1","IGFBP3"
