"","Phase","recat"
"922","G1","G1"
"923","G1","G1"
"924","G1","G1"
"925","S","G1"
"926","G2M","M"
"927","G2M","G2M"
"928","G2M","M"
"929","G2M","M"
"930","G1","G1"
"931","G2M","G1"
"932","G1","G1"
"933","G1","G1"
"934","S","G1"
"935","G1","G1"
"936","S","G1S"
"937","G2M","G2M"
"938","S","G1S"
"939","G2M","M"
"940","G1","M"
"941","G2M","M"
"942","G2M","G2"
"943","G1","G1"
"944","G1","G1"
"945","G1","G1"
"946","G1","G1"
"947","G1","G1"
"948","G1","G1"
"949","G1","G1"
"950","G1","G1"
"951","G1","G1"
"952","G1","G1"
"953","G1","G1"
"954","G2M","M"
"955","G1","G1S"
"956","G1","G1"
"957","G2M","G2M"
"958","S","G1S"
"959","G1","G1"
"960","G1","G1"
"961","S","G1S"
"962","G1","G1"
"963","G2M","M"
"964","S","G1"
"965","G2M","G1S"
"966","S","G1S"
"967","G1","G1"
"968","G2M","S"
"969","G2M","M"
"970","G2M","M"
"971","G1","G1"
"972","G1","G1"
"973","G1","G1"
"974","S","G1S"
"975","G2M","M"
"976","G1","M"
"977","G1","G1"
"978","S","G1S"
"979","G1","G1"
"980","G2M","G2M"
"981","G1","G1"
"982","G2M","M"
"983","G1","M"
"984","G1","G1"
"985","G1","G1"
"986","S","G1"
"987","G1","G1"
"988","S","G1"
"989","S","G1"
"990","G1","G1"
"991","G2M","G2M"
"992","G1","G1"
"993","S","G1S"
"994","G1","G1"
"995","G2M","G2M"
"996","G1","G1"
"997","G1","G1"
"998","G1","G1"
"999","G1","G1"
"1000","S","G1"
"1001","G1","G1"
"1002","G1","G1"
"1003","S","G1S"
"1004","G1","G1"
"1005","G1","G1"
"1006","G1","G1"
"1007","G1","G1"
"1008","G1","G1"
"1009","G2M","M"
"1010","G2M","G2M"
"1011","G1","G1"
"1012","G1","G1"
"1013","G1","G1"
"1014","G2M","M"
"1015","S","G1"
"1016","G1","G1"
"1017","G1","G1"
"1018","S","G1"
"1019","G2M","M"
"1020","G2M","G2"
"1021","G1","G1"
"1022","G2M","G2M"
"1023","G1","G1"
"1024","G1","G1"
"1025","S","G1S"
"1026","S","G1"
"1027","S","G1"
"1028","S","G1"
"1029","G2M","G2M"
"1030","S","G1S"
"1031","G1","G1"
"1032","G1","G1"
"1033","S","G1S"
"1034","G1","G1"
"1035","G2M","G2"
"1036","G2M","G1"
"1037","G1","G1"
"1038","G1","G1"
"1039","G2M","M"
"1040","G1","G1"
"1041","G2M","G2"
"1042","G1","M"
"1043","G1","G1"
"1044","G1","G1"
"1045","G1","G1"
"1046","G1","G1"
"1047","G1","G1"
"1048","G1","G1"
"1049","G1","G1"
"1050","G1","G1"
"1051","G1","G1"
"1052","G1","G1"
"1053","G1","G1"
"1054","S","G1S"
"1055","G1","G1"
"1056","S","G1"
"1057","G2M","M"
"1058","S","G1"
"1059","G1","G1"
"1060","G1","G1"
"1061","G2M","G1S"
"1062","G2M","M"
"1063","G2M","M"
"1064","G1","G1"
"1065","S","G1"
"1066","G1","G1"
"1067","G1","G1"
"1068","G1","G1"
"1069","S","G1S"
"1070","S","G1S"
"1071","S","G1S"
"1072","G1","G1"
"1073","G1","G1"
"1074","G1","G1"
"1075","S","G1"
"1076","S","G1"
"1077","G2M","M"
"1078","G2M","G1"
"1079","G1","G1"
"1080","G2M","G1"
"1081","S","G1S"
"1082","S","G1"
"1083","G2M","G2M"
"1084","G1","G1"
"1085","G1","G1"
"1086","S","G1"
"1087","G1","G1"
"1088","S","G1"
"1089","G2M","S"
"1090","G1","G1"
"1091","S","G1"
"1092","S","G1S"
"1093","S","G1"
"1094","G1","G1"
"1095","S","G1S"
"1096","G2M","M"
"1097","S","G1S"
"1098","G1","G1"
"1099","G1","G1"
"1100","G1","G1"
"1101","S","G1S"
"1102","S","G1S"
"1103","S","G1"
"1104","G1","G1"
"1105","G1","G1"
"1106","G2M","M"
"1107","G1","G1"
"1108","S","G1"
"1109","G1","G1"
"1110","S","G1S"
"1111","S","G1"
"1112","S","G1"
"1113","S","G1S"
"1114","G1","G1"
"1115","S","G1S"
"1116","G2M","M"
"1117","G2M","G2M"
"1118","S","G1"
"1119","G1","G1"
"1120","S","G1S"
"1121","S","G1S"
"1122","S","G1S"
"1123","G1","G1"
"1124","S","G1"
"1125","G1","G1"
"1126","G2M","G1S"
"1127","G2M","M"
"1128","G2M","M"
"1129","G1","G1"
"1130","G1","G1"
"1131","S","G1"
"1132","G1","G1"
"1133","G1","G1"
"1134","G1","G1"
"1135","G2M","S"
"1136","G2M","M"
"1137","G2M","M"
"1138","G2M","M"
"1139","S","G1S"
"1140","G1","G1"
"1141","S","G1S"
"1142","G1","G1"
"1143","G2M","M"
"1144","G1","G1"
"1145","S","G1S"
"1146","G1","G1"
"1147","G1","G1"
"1148","G1","G1"
"1149","S","G1"
"1150","G1","G1"
"1151","G1","G1"
"1152","G1","G1"
"1153","S","G1"
"1154","G1","G1"
"1155","G1","G1"
"1156","G1","G1"
"1157","G1","G1"
"1158","G1","G1"
"1159","G1","G1"
"1160","G1","G1"
"1161","G2M","M"
"1162","G1","G1"
"1163","G1","G1"
"1164","G1","G1"
"1165","S","G1"
"1166","G1","G1"
"1167","S","G1"
"1168","S","G1S"
"1169","S","G1S"
"1170","G1","M"
"1171","G1","G1"
"1172","S","G1S"
"1173","S","G1"
"1174","G1","G1"
"1175","S","G1S"
"1176","S","G1"
"1177","S","M"
"1178","G1","G1"
"1179","S","G1"
"1180","S","G1"
"1181","G1","G1"
"1182","S","G1"
"1183","G1","G1"
"1184","G2M","M"
"1185","G2M","G2M"
"1186","G1","G1"
"1187","G1","G1"
"1188","G2M","M"
"1189","G2M","G2"
"1190","G1","G1"
"1191","G1","G1"
"1192","G2M","M"
"1193","S","G1S"
"1194","G2M","M"
"1195","S","G1"
"1196","G1","G1"
"1197","G1","G1"
"1198","G1","G1"
"1199","S","G1S"
"1200","S","M"
"1201","G1","G1"
"1202","G1","G1"
"1203","S","G1"
"1204","S","G1S"
"1205","G2M","M"
"1206","G1","G1"
"1207","G1","G1"
"1208","S","G1"
"1209","G2M","S"
"1210","S","G1S"
"1211","G1","G1"
"1212","G2M","M"
"1213","G2M","G2M"
"1214","G2M","G2"
"1215","S","G1S"
"1216","G1","G1"
"1217","G2M","M"
"1218","S","G1S"
"1219","G1","G1"
"1220","S","G1"
"1221","G1","G1"
"1222","G1","G1"
"1223","G1","G1"
"1224","G2M","M"
"1225","G1","G1"
"1226","S","G1"
"1227","S","G1"
"1228","G1","G1"
"1229","S","G1"
"1230","G1","G1"
"1231","S","G1"
"1232","S","G1S"
"1233","S","G1S"
"1234","G1","G1"
"1235","G1","G1"
"1236","G1","G1"
"1237","G2M","M"
"1238","G2M","M"
"1239","G1","G1"
"1240","G2M","G1S"
"1241","G1","G1S"
"1242","S","G1"
"1243","G1","G1"
"1244","G1","G1"
"1245","G2M","M"
"1246","S","G1S"
"1247","G2M","M"
"1248","G1","G1"
"1249","S","G1"
"1250","G2M","M"
"1251","S","G1S"
"1252","G2M","M"
"1253","G1","G1S"
"1254","S","S"
"1255","G2M","M"
"1256","G1","G1"
"1257","G1","G1"
"1258","S","G1"
"1259","S","S"
"1260","G1","G1"
"1261","G1","G1"
"1262","G1","G1"
"1263","G1","G1"
"1264","G1","G1"
"1265","G1","G1"
"1266","S","G1S"
"1267","G1","G1"
"1268","S","G1S"
"1269","G1","G1"
"1270","G2M","M"
"1271","S","G2M"
"1272","G1","G1"
"1273","G1","G1"
"1274","G1","G1"
"1275","G1","G1"
"1276","G1","G1"
"1277","G2M","M"
"1278","G1","G1"
"1279","G1","G1"
"1280","G2M","G2M"
"1281","G1","G1"
"1282","S","G1"
"1283","G1","G1"
"1284","G1","G1"
"1285","G2M","G2"
"1286","G1","G1"
"1287","G1","G1"
"1288","G2M","M"
"1289","G2M","M"
"1290","G2M","M"
"1291","G2M","G2M"
"1292","G1","G1"
"1293","G1","G1"
"1294","G1","G1"
"1295","G1","G1"
"1296","G2M","G1S"
"1297","G1","G1S"
"1298","G1","G1"
"1299","G1","G1"
"1300","G1","G1"
"1301","G1","G1"
"1302","G1","G1"
"1303","G2M","G2M"
"1304","G2M","M"
"1305","G1","G1"
"1306","S","G1S"
"1307","G1","G1"
"1308","G1","G1"
"1309","G1","G1"
"1310","G1","G1"
"1311","G1","G1"
"1312","G1","G1"
"1313","S","G1"
"1314","G2M","G2"
"1315","G1","G1"
"1316","G1","G1"
"1317","G1","G1"
"1318","G1","G1S"
"1319","S","G1S"
"1320","S","G1S"
"1321","G2M","M"
"1322","S","G1"
"1323","S","G1S"
"1324","G1","G1"
