"","x"
"1495","G2/M"
"1496","S"
"1497","G1/G0"
"1498","S"
"1499","S"
"1500","S"
"1501","G1/G0"
"1502","M"
"1503","G2/M"
"1504","G1/G0"
"1505","G1/G0"
"1506","M"
"1507","G2/M"
"1508","G2/M"
"1509","G2/M"
"1510","G2/M"
"1511","G1/G0"
"1512","G2/M"
"1513","S"
"1514","G1/G0"
"1515","G1/G0"
"1516","S"
"1517","G2/M"
"1518","G1/G0"
"1519","M"
"1520","G1/G0"
"1521","G2/M"
"1522","S"
"1523","G1/G0"
"1524","G1/G0"
"1525","G1/G0"
"1526","G2/M"
"1527","G1/G0"
"1528","G2/M"
"1529","G1/G0"
"1530","S"
"1531","S"
"1532","G1/G0"
"1533","G1/G0"
"1534","S"
"1535","S"
"1536","G2/M"
"1537","S"
"1538","S"
"1539","G1/G0"
"1540","G1/G0"
"1541","S"
"1542","G1/G0"
"1543","G1/G0"
"1544","G1/G0"
"1545","G1/G0"
"1546","G1/G0"
"1547","S"
"1548","G2/M"
"1549","G1/G0"
"1550","G2/M"
"1551","G1/G0"
"1552","M"
"1553","G1/G0"
"1554","S"
"1555","S"
"1556","M"
"1557","G1/G0"
"1558","S"
"1559","G1/G0"
"1560","S"
"1561","S"
"1562","G1/G0"
"1563","G1/G0"
"1564","G2/M"
"1565","M"
"1566","G1/G0"
"1567","S"
"1568","S"
"1569","G1/G0"
"1570","S"
"1571","G1/G0"
"1572","S"
"1573","G1/G0"
"1574","G2/M"
"1575","G2/M"
"1576","S"
"1577","S"
"1578","G1/G0"
"1579","G1/G0"
"1580","G1/G0"
"1581","G1/G0"
"1582","G1/G0"
"1583","G1/G0"
"1584","S"
"1585","S"
"1586","G2/M"
"1587","G2/M"
"1588","S"
"1589","G1/G0"
"1590","G2/M"
"1591","G1/G0"
"1592","G1/G0"
"1593","G2/M"
"1594","G1/G0"
"1595","G2/M"
"1596","S"
"1597","G1/G0"
"1598","S"
"1599","G1/G0"
"1600","S"
"1601","G1/G0"
"1602","G2/M"
"1603","S"
"1604","G1/G0"
"1605","G1/G0"
"1606","G2/M"
"1607","G1/G0"
"1608","G1/G0"
"1609","G1/G0"
"1610","G1/G0"
"1611","S"
"1612","S"
"1613","G2/M"
"1614","G1/G0"
