"","x"
"851","M"
"852","G2/M"
"853","G2/M"
"854","S"
"855","S"
"856","G1/G0"
"857","S"
"858","S"
"859","G1/G0"
"860","S"
"861","G2/M"
"862","G2/M"
"863","G1/G0"
"864","S"
"865","G1/G0"
"866","G2/M"
"867","G2/M"
"868","G1/G0"
"869","G1/G0"
"870","S"
"871","M"
"872","G2/M"
"873","G1/G0"
"874","G2/M"
"875","G2/M"
"876","S"
"877","M"
"878","G2/M"
"879","G2/M"
"880","S"
"881","G1/G0"
"882","G2/M"
"883","S"
"884","G1/G0"
"885","M"
"886","G2/M"
"887","S"
"888","S"
"889","S"
"890","G1/G0"
"891","S"
"892","S"
"893","G1/G0"
"894","G1/G0"
"895","S"
"896","G1/G0"
"897","G1/G0"
"898","G2/M"
"899","S"
"900","G2/M"
"901","S"
"902","G2/M"
"903","M"
"904","G2/M"
"905","G1/G0"
"906","G1/G0"
"907","S"
"908","S"
"909","G1/G0"
"910","G2/M"
"911","S"
"912","G1/G0"
"913","G1/G0"
"914","G1/G0"
"915","G1/G0"
"916","G2/M"
"917","G2/M"
"918","S"
"919","G1/G0"
"920","G1/G0"
"921","G1/G0"
"922","S"
"923","G1/G0"
"924","G1/G0"
"925","M"
"926","G1/G0"
"927","S"
"928","G1/G0"
"929","G1/G0"
"930","G2/M"
"931","S"
"932","S"
"933","G1/G0"
"934","S"
"935","S"
"936","S"
"937","G1/G0"
"938","G1/G0"
"939","S"
"940","G1/G0"
"941","G1/G0"
"942","M"
"943","S"
"944","S"
"945","G2/M"
"946","G1/G0"
"947","M"
"948","S"
"949","G1/G0"
"950","S"
"951","G1/G0"
"952","S"
"953","G2/M"
"954","G1/G0"
"955","G2/M"
"956","G1/G0"
"957","G1/G0"
"958","S"
"959","S"
"960","G2/M"
"961","S"
"962","S"
"963","G1/G0"
"964","G2/M"
"965","G1/G0"
"966","G1/G0"
"967","G2/M"
"968","G1/G0"
"969","G2/M"
"970","S"
"971","S"
"972","G1/G0"
"973","S"
"974","G2/M"
"975","G1/G0"
"976","G1/G0"
"977","S"
"978","S"
"979","G1/G0"
"980","G2/M"
"981","G2/M"
"982","G2/M"
"983","G1/G0"
"984","G2/M"
"985","S"
"986","G1/G0"
"987","G1/G0"
"988","G1/G0"
"989","G1/G0"
"990","S"
"991","G1/G0"
"992","S"
"993","G2/M"
"994","S"
"995","G2/M"
"996","G1/G0"
"997","G2/M"
"998","S"
"999","G1/G0"
"1000","G1/G0"
"1001","G1/G0"
"1002","M"
"1003","S"
"1004","G1/G0"
"1005","M"
"1006","G1/G0"
"1007","G1/G0"
"1008","G2/M"
"1009","G1/G0"
"1010","G1/G0"
"1011","S"
"1012","G2/M"
"1013","M"
"1014","G1/G0"
"1015","G1/G0"
"1016","G2/M"
"1017","S"
"1018","G2/M"
"1019","G1/G0"
"1020","M"
"1021","G1/G0"
"1022","G2/M"
"1023","G2/M"
"1024","G2/M"
"1025","G2/M"
"1026","M"
"1027","M"
"1028","S"
"1029","M"
"1030","S"
"1031","G1/G0"
"1032","G1/G0"
"1033","S"
"1034","G1/G0"
"1035","S"
"1036","G2/M"
"1037","G2/M"
"1038","G1/G0"
"1039","G1/G0"
"1040","G2/M"
"1041","M"
"1042","G1/G0"
"1043","G2/M"
"1044","S"
"1045","S"
"1046","S"
"1047","G2/M"
"1048","S"
"1049","G1/G0"
"1050","G1/G0"
"1051","S"
"1052","M"
"1053","G1/G0"
"1054","G1/G0"
"1055","G1/G0"
"1056","G1/G0"
"1057","S"
"1058","S"
"1059","G2/M"
"1060","G2/M"
"1061","S"
"1062","G1/G0"
"1063","S"
"1064","G2/M"
"1065","S"
"1066","S"
"1067","G1/G0"
"1068","S"
"1069","G1/G0"
"1070","G1/G0"
"1071","G1/G0"
"1072","S"
"1073","G1/G0"
"1074","S"
"1075","G2/M"
"1076","S"
"1077","S"
"1078","S"
"1079","G1/G0"
"1080","S"
"1081","G1/G0"
"1082","G1/G0"
"1083","G1/G0"
"1084","G1/G0"
"1085","S"
"1086","S"
"1087","M"
"1088","G2/M"
"1089","G1/G0"
"1090","S"
"1091","G2/M"
"1092","S"
"1093","S"
"1094","G1/G0"
"1095","G2/M"
"1096","S"
"1097","S"
"1098","G1/G0"
"1099","G2/M"
"1100","G1/G0"
"1101","G2/M"
"1102","M"
"1103","G1/G0"
"1104","S"
"1105","S"
"1106","G1/G0"
"1107","G2/M"
"1108","G2/M"
"1109","G1/G0"
"1110","G1/G0"
"1111","G1/G0"
"1112","M"
"1113","S"
"1114","G1/G0"
"1115","G1/G0"
"1116","S"
"1117","G1/G0"
"1118","G1/G0"
"1119","S"
"1120","S"
"1121","S"
"1122","S"
"1123","S"
"1124","M"
"1125","G1/G0"
"1126","G2/M"
"1127","S"
"1128","S"
"1129","S"
"1130","G1/G0"
"1131","M"
"1132","G2/M"
"1133","G1/G0"
"1134","G1/G0"
"1135","G1/G0"
"1136","G1/G0"
"1137","G1/G0"
"1138","G2/M"
"1139","G2/M"
"1140","G1/G0"
"1141","G2/M"
"1142","G2/M"
"1143","G2/M"
"1144","G1/G0"
"1145","S"
"1146","S"
"1147","G2/M"
"1148","M"
"1149","G1/G0"
"1150","G2/M"
"1151","S"
"1152","G1/G0"
"1153","M"
"1154","G1/G0"
"1155","S"
"1156","G1/G0"
"1157","S"
"1158","S"
"1159","M"
"1160","G1/G0"
"1161","G2/M"
"1162","G1/G0"
"1163","S"
"1164","G1/G0"
"1165","M"
"1166","S"
"1167","S"
"1168","S"
"1169","S"
"1170","G1/G0"
"1171","G1/G0"
"1172","S"
"1173","G1/G0"
"1174","G2/M"
"1175","G1/G0"
"1176","G1/G0"
"1177","S"
"1178","G1/G0"
"1179","G1/G0"
"1180","S"
"1181","S"
"1182","G1/G0"
"1183","G2/M"
"1184","S"
"1185","S"
"1186","G2/M"
"1187","G2/M"
"1188","G1/G0"
"1189","S"
"1190","S"
"1191","S"
"1192","S"
"1193","G1/G0"
"1194","G1/G0"
"1195","G1/G0"
"1196","S"
"1197","G1/G0"
"1198","S"
"1199","G1/G0"
"1200","S"
"1201","S"
"1202","S"
"1203","G2/M"
"1204","M"
"1205","G2/M"
"1206","G2/M"
"1207","G2/M"
"1208","G1/G0"
"1209","G1/G0"
"1210","S"
"1211","G2/M"
"1212","G1/G0"
"1213","G2/M"
