"","ccAF","recat"
"1118","Neural G0","G1"
"1119","G2/M","M"
"1120","G2/M","G2M"
"1121","Neural G0","G1"
"1122","G1","G1"
"1123","S/G2","G1"
"1124","M/Early G1","G1"
"1125","S","G1"
"1126","G1","G1"
"1127","S/G2","G1"
"1128","G1","G1"
"1129","G1","G1"
"1130","Neural G0","G1"
"1131","G1","G1"
"1132","Neural G0","G1"
"1133","G1","G1"
"1134","S","G1"
"1135","G1","G1"
"1136","G1","G1"
"1137","Neural G0","G1"
"1138","Neural G0","G1"
"1139","Late G1","G1"
"1140","S/G2","G2M"
"1141","G1","G1"
"1142","G1","G1"
"1143","G1","M"
"1144","Late G1","G1"
"1145","S/G2","M"
"1146","G1","G1"
"1147","S","G1S"
"1148","G1","G1"
"1149","S/G2","G2"
"1150","Neural G0","G1"
"1151","G1","G1"
"1152","S/G2","G1"
"1153","Neural G0","G1"
"1154","G1","G1"
"1155","S","G1"
"1156","G1","G1"
"1157","G1","G2M"
"1158","G1","G1"
"1159","S/G2","S"
"1160","G1","G1"
"1161","S","G1"
"1162","Neural G0","G1"
"1163","S","G1"
"1164","M/Early G1","G1"
"1165","G1","G1"
"1166","S","G1"
"1167","Neural G0","G1"
"1168","S/G2","M"
"1169","Neural G0","G1"
"1170","G1","G1"
"1171","M/Early G1","M"
"1172","Neural G0","G1"
"1173","S/G2","G2M"
"1174","Late G1","G1"
"1175","G2/M","M"
"1176","G1","G1"
"1177","Late G1","G1"
"1178","Neural G0","G1"
"1179","G1","G1"
"1180","G1","G1"
"1181","G1","G1S"
"1182","G1","G1"
"1183","S/G2","G1"
"1184","Late G1","G1"
"1185","G1","G1"
"1186","Neural G0","G1"
"1187","M/Early G1","G1"
"1188","M/Early G1","G2M"
"1189","G1","G1"
"1190","Neural G0","G1"
"1191","G1","G1"
"1192","G2/M","M"
"1193","G2/M","M"
"1194","G1","G1"
"1195","Neural G0","G1"
"1196","G2/M","M"
"1197","G1","G1"
"1198","Late G1","G1"
"1199","G1","G1"
"1200","G1","G1"
"1201","S","G1"
"1202","G2/M","M"
"1203","M/Early G1","G1"
"1204","M/Early G1","G1"
"1205","G1","G1"
"1206","G1","G1"
"1207","G1","G1"
"1208","M/Early G1","G1"
"1209","S","S"
"1210","S/G2","G1"
"1211","G1","G1"
"1212","Late G1","G1"
"1213","G2/M","M"
"1214","S/G2","M"
"1215","G2/M","M"
"1216","S/G2","G1"
"1217","G1","G1"
"1218","Neural G0","G1"
