"","Phase","recat"
"988","G2M","M"
"989","G1","G1"
"990","G2M","M"
"991","G1","G1"
"992","G1","G1"
"993","G1","G1"
"994","S","G1"
"995","S","G1"
"996","G1","G1"
"997","G1","G1"
"998","S","G1"
"999","G1","G1"
"1000","G1","G1"
"1001","G1","G1"
"1002","G1","G1"
"1003","S","G1"
"1004","G1","G1"
"1005","S","G1"
"1006","S","G1"
"1007","S","G1"
"1008","G1","G1"
"1009","G1","G1"
"1010","G1","G1"
"1011","G1","G1"
"1012","G1","G1"
"1013","S","G1"
"1014","G1","G1"
"1015","G1","G1"
"1016","G1","G1"
"1017","S","G1"
"1018","G1","G1"
"1019","G1","G1"
"1020","G1","G1"
"1021","G1","G1"
"1022","G2M","M"
"1023","G1","G1"
"1024","G1","G1"
"1025","G1","G1"
"1026","S","G1"
"1027","G2M","G2M"
"1028","G1","M"
"1029","G1","G1"
"1030","G1","G1"
"1031","G1","G1"
"1032","G1","G1"
"1033","G1","G1"
"1034","G1","G1"
"1035","G1","G1"
"1036","S","G1S"
"1037","G1","G1"
"1038","G1","G1"
"1039","G1","G1S"
"1040","G1","G1"
"1041","G2M","M"
"1042","S","G1"
"1043","G1","G1"
"1044","G1","G1"
"1045","G1","G1"
"1046","G2M","M"
"1047","G1","G1"
"1048","G1","G1"
"1049","G2M","M"
"1050","G1","G1"
"1051","G1","G1"
"1052","G1","G1"
"1053","G1","G1"
"1054","G1","G1"
"1055","S","G1"
"1056","G2M","M"
"1057","S","M"
"1058","G1","G1"
"1059","G1","G1"
"1060","S","G1"
"1061","G2M","G1"
"1062","G1","G1"
"1063","S","G2M"
"1064","G1","G1"
"1065","G2M","G2M"
"1066","G1","G1"
"1067","G1","G1"
"1068","G1","G1"
"1069","S","G1"
"1070","S","G1"
"1071","G1","G1"
"1072","G2M","M"
"1073","S","G1"
"1074","G1","G1"
"1075","G1","G1"
"1076","S","G1"
"1077","G1","G1"
"1078","S","G2"
"1079","G2M","M"
"1080","G1","G2M"
"1081","S","G1"
"1082","G1","G1"
"1083","G1","G1"
"1084","G1","G1"
"1085","G1","G1"
"1086","S","G1S"
"1087","S","G1"
"1088","S","G1"
"1089","S","G1"
"1090","G1","G1"
"1091","G1","G1"
"1092","G2M","M"
"1093","G1","G1"
"1094","S","S"
"1095","G1","G1"
"1096","S","G1"
"1097","G1","G1"
"1098","G2M","G1"
"1099","G2M","G2M"
"1100","G1","G1"
"1101","G1","G1"
"1102","G2M","G2M"
"1103","G1","G1"
"1104","G1","G1"
"1105","S","G1"
"1106","G1","G1"
"1107","S","G1"
"1108","G1","G1"
"1109","G1","G1"
"1110","G1","G1"
"1111","G1","G1"
"1112","G1","G1"
"1113","G2M","M"
"1114","G2M","G1"
"1115","G1","G1"
"1116","S","G1"
